City,Datetime,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Hour,Day,Month,Year,Weekday,Season,AQI_Lag_1,AQI_Lag_6,AQI_Lag_24,AQI_Rolling_6,AQI_Rolling_24
Ahmedabad,04-04-2020 16:00,21.25,42.5,16.45,11.6,0.11,20.3,70,16,4,4,2020,5,2,71,75,67,72,73.625
Ahmedabad,04-04-2020 17:00,21,39,19.62,15.16,0.11,18.97,69,17,4,4,2020,5,2,70,74,67,71.16666666666667,73.70833333333333
Ahmedabad,04-04-2020 18:00,18,46.5,27.95,5.76,0.11,14.7,67,18,4,4,2020,5,2,69,73,68,70.16666666666667,73.66666666666667
Ahmedabad,04-04-2020 19:00,21,51.75,31.45,4.15,0.11,13.4,65,19,4,4,2020,5,2,67,72,70,69,73.45833333333333
Ahmedabad,04-04-2020 20:00,28,53.75,34.38,3.83,0.11,11.57,62,20,4,4,2020,5,2,65,72,73,67.33333333333333,73
Ahmedabad,04-04-2020 21:00,22,57.5,31.22,3.65,0.11,10.03,60,21,4,4,2020,5,2,62,71,74,65.5,72.41666666666667
Ahmedabad,04-04-2020 22:00,22,69.25,25.43,0.3,0.11,14.43,59,22,4,4,2020,5,2,60,70,74,63.66666666666666,71.79166666666667
Ahmedabad,04-04-2020 23:00,22.5,64.5,24.8,16.35,0.11,13.28,58,23,4,4,2020,5,2,59,69,74,61.833333333333336,71.125
Ahmedabad,05-04-2020 00:00,24,66,28.3,15.58,0.11,7.4,57,0,5,4,2020,6,2,58,67,75,60.16666666666666,70.375
Ahmedabad,05-04-2020 01:00,31.25,95.5,32.02,2.35,0.11,5.05,59,1,5,4,2020,6,2,57,65,75,59.16666666666666,69.70833333333333
Ahmedabad,05-04-2020 02:00,26,64,37.05,3.62,0.11,3.1,58,2,5,4,2020,6,2,59,62,77,58.5,68.91666666666667
Ahmedabad,05-04-2020 03:00,22,40.5,36.35,4.38,0.11,5.2,58,3,5,4,2020,6,2,58,60,77,58.16666666666666,68.125
Ahmedabad,05-04-2020 04:00,18.75,38,35.75,5.3,0.11,4.78,57,4,5,4,2020,6,2,58,59,77,57.833333333333336,67.29166666666667
Ahmedabad,05-04-2020 05:00,18.75,41,36.25,5.82,0.11,2.88,57,5,5,4,2020,6,2,57,58,77,57.66666666666666,66.45833333333333
Ahmedabad,05-04-2020 06:00,23,49.5,33.67,1.55,0.11,3.62,57,6,5,4,2020,6,2,57,57,76,57.66666666666666,65.66666666666667
Ahmedabad,05-04-2020 07:00,28.75,47,29.83,4.58,0.11,4.97,56,7,5,4,2020,6,2,57,59,76,57.16666666666666,64.83333333333333
Ahmedabad,05-04-2020 08:00,26.25,45.75,32.8,3.85,0.11,4.57,56,8,5,4,2020,6,2,56,58,75,56.833333333333336,64.04166666666667
Ahmedabad,05-04-2020 09:00,22.5,53.5,39.92,5.88,0.11,11.43,55,9,5,4,2020,6,2,56,58,75,56.333333333333336,63.208333333333336
Ahmedabad,05-04-2020 10:00,28.5,69,46.8,12.35,0.11,17.1,54,10,5,4,2020,6,2,55,57,75,55.833333333333336,62.333333333333336
Ahmedabad,05-04-2020 11:00,28,67.75,35.42,9.4,0.11,13,54,11,5,4,2020,6,2,54,57,74,55.333333333333336,61.5
Ahmedabad,05-04-2020 12:00,22,40,31.8,11.8,0.11,13.92,53,12,5,4,2020,6,2,54,57,73,54.66666666666666,60.66666666666666
Ahmedabad,05-04-2020 13:00,18,36.25,35.88,5.75,0.11,11.12,53,13,5,4,2020,6,2,53,56,72,54.16666666666666,59.875
Ahmedabad,05-04-2020 14:00,13,36.25,18.5,4.8,0.11,13.83,52,14,5,4,2020,6,2,53,56,72,53.5,59.04166666666666
Ahmedabad,05-04-2020 15:00,16.75,33,14.62,5.4,0.11,20.65,52,15,5,4,2020,6,2,52,55,71,53,58.25
Ahmedabad,05-04-2020 16:00,19,30,15.5,7.63,0.11,20.15,51,16,5,4,2020,6,2,52,54,70,52.5,57.458333333333336
Ahmedabad,05-04-2020 17:00,11,34,18.15,10.89,0.11,20,51,17,5,4,2020,6,2,51,54,69,52,56.708333333333336
Ahmedabad,05-04-2020 18:00,17,34,28.18,26.11,0.11,13.82,51,18,5,4,2020,6,2,51,53,67,51.66666666666666,56.04166666666666
